%loc	type	subtyp	n	ord	thresh	pol0	pol1	pol2	pol3
1	dssd_front	dssd_front	1	2	0	-113.9389001132	16.0327917007	147.4307540217	15.160869956
2	dssd_front	dssd_front	1	2	0	-113.9389001132	16.0327917007	147.4307540217	15.160869956
3	dssd_front	dssd_front	1	2	0	-132.3915406678	16.0876923166	125.3690884477	15.2251805054
4	dssd_front	dssd_front	1	2	0	-126.7884553848	16.03674964	107.5512890095	15.2596110357
5	dssd_front	dssd_front	1	2	0	-123.0401937278	15.8171010221	148.5829425816	14.924798726
6	dssd_front	dssd_front	1	2	0	-129.2135038718	16.2422277949	109.7333882482	15.4397766795
7	dssd_front	dssd_front	1	2	0	-129.8209387316	16.2249063464	158.7170118477	15.2568508637
8	dssd_front	dssd_front	1	2	0	-126.8056954992	16.1955606308	159.0846202474	15.2348053825
9	dssd_front	dssd_front	1	2	0	-132.7441956323	16.0735876644	155.0417525311	15.1146850641
10	dssd_front	dssd_front	1	2	0	-119.4424647207	15.825426786	141.8450004436	14.9671723893
11	dssd_front	dssd_front	1	2	0	-117.3290140557	16.1322464924	162.0500765559	15.1936413582
12	dssd_front	dssd_front	1	2	0	-122.8801611721	15.8152119961	118.2430747306	15.025830587
13	dssd_front	dssd_front	1	2	0	-131.4226844695	16.279010608	195.7892796115	15.1717780376
14	dssd_front	dssd_front	1	2	0	-115.9665161064	16.082430587	163.5739427135	15.1472568914
15	dssd_front	dssd_front	1	2	0	-131.9630130192	16.2336054785	193.2295611595	15.1391007808
16	dssd_front	dssd_front	1	2	0	-124.3677941377	15.7151717116	124.8147853736	14.8997526939
17	dssd_front	dssd_front	1	2	0	-134.0549964482	15.8570097393	122.5563468043	15.0164678654
18	dssd_front	dssd_front	1	2	0	-123.958724093	16.1043061686	90.3097801295	15.3904753216
19	dssd_front	dssd_front	1	2	0	-114.4034910012	16.2586955266	116.6936135071	15.4794457699
20	dssd_front	dssd_front	1	2	0	-130.1035222438	15.7987486052	112.3660857194	15.0004446025
21	dssd_front	dssd_front	1	2	0	-121.4728986786	16.1581944503	123.9905437352	15.3386979451
